Title,Authors,Year,Venue,DOI
A survey of industrial applications of Demand Response,"['MH Shoreh', 'P Siano', 'M Shafie-khah', 'V Loia']",2016,… Systems Research,https://www.sciencedirect.com/science/article/pii/S0378779616302632
Towards a modern approach to privacy-aware government data releases,"['M Altman', 'A Wood', ""DR O'Brien"", 'S Vadhan']",2015,… Technology Law Journal,https://www.jstor.org/stable/26377584
"iFogSim: A toolkit for modeling and simulation of resource management techniques in the Internet of Things, Edge and Fog computing environments","['H Gupta', 'A Vahid Dastjerdi', 'SK Ghosh']",2017,Software: Practice and …,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.2509
"Health, United States","['', 'National Center for Health Services Research']",2002,NA,https://books.google.com/books?hl=en&lr=&id=JkQelawtQRMC&oi=fnd&pg=PR8&dq=Federal+Statistical+Research+Data+Centers&ots=jKeL_rCFtU&sig=6Rm06QZLIOmJvvJz8txSWGUThwY
The global precipitation climatology project (GPCP) combined precipitation dataset,"['GJ Huffman', 'RF Adler', 'P Arkin', 'A Chang']",1997,Bulletin of the …,https://journals.ametsoc.org/view/journals/bams/78/1/1520-0477_1997_078_0005_tgpcpg_2_0_co_2.xml
2022 roadmap on neuromorphic computing and engineering,"['DV Christensen', 'R Dittmann']",2022,Neuromorphic …,https://iopscience.iop.org/article/10.1088/2634-4386/ac4a83/meta
"A uniform, quality controlled Surface Ocean CO2 Atlas (SOCAT)","['B Pfeil', 'A Olsen', 'DCE Bakker', 'S Hankin']",2013,… Science Data,https://essd.copernicus.org/articles/5/125/2013/
Secondary data sources for public health: A practical guide,['S Boslaugh'],2007,NA,https://books.google.com/books?hl=en&lr=&id=2UWOXoxO6Q4C&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=dZ9KIyZ7cg&sig=CD_JZs05LZht0-l2AstypSLwIac
Signal traffic: Critical studies of media infrastructures,"['CR Acland', 'P Dourish', 'S Harris', 'J Holt', 'S Mattern']",2015,NA,https://books.google.com/books?hl=en&lr=&id=C7ZCCQAAQBAJ&oi=fnd&pg=PP1&dq=Federal+Statistical+Research+Data+Centers&ots=0R2YNPtUU0&sig=ZJ3ys6nxBSjKlIrRQbtecBEvaDs
Big data from small data: data-sharing in the'long tail'of neuroscience,"['AR Ferguson', 'JL Nielson', 'MH Cragin']",2014,Nature …,https://www.nature.com/articles/nn.3838
Risk factors for infant maltreatment: a population-based study,"['SS Wu', 'CX Ma', 'RL Carter', 'M Ariet', 'EA Feaver']",2004,Child abuse & …,https://www.sciencedirect.com/science/article/pii/S0145213404002558
"Using linked survey and administrative data to better measure income: Implications for poverty, program effectiveness, and holes in the safety net","['BD Meyer', 'N Mittag']",2019,American Economic Journal: Applied Economics,https://www.aeaweb.org/articles?id=10.1257/app.20170478
"Health, United States, 2010 with special feature on death and dying",[],2011,NA,https://books.google.com/books?hl=en&lr=&id=kDzTD8nz6BgC&oi=fnd&pg=PA11&dq=Federal+Statistical+Research+Data+Centers&ots=KHGis6ZB7u&sig=sgjstprD26NkfkCVYSrjRul73mU
Financial incentives and retirement: evidence from federal civil service workers,"['B Asch', 'SJ Haider', 'J Zissimopoulos']",2005,Journal of public Economics,https://www.sciencedirect.com/science/article/pii/S0047272704000180
Federal information in the networked environment: A perspective from the Coalition for Networked Information,['JF Cheverie'],1999,Government Information Quarterly,https://www.sciencedirect.com/science/article/pii/S0740624X99800276
Utilizing Federal Data Sources to Support Nursing Workforce Analysis,"['B Kang', 'T Fernando', 'J Pang', 'P Shirey']",2024,"Policy, Politics, & …",https://journals.sagepub.com/doi/abs/10.1177/15271544241286078
Spotlight on heterogeneity: the federal standards for racial and ethnic classification,"['', 'JT Lott', 'J Goldstein', 'National Research Council']",1996,NA,N/A
"1975 Federal Funding for Education Knowledge Production and Utilization: A Composite Estimate, by Agency, Using Four Data Bases. R&D System Studies …",['CE Nelson'],1977,NA,https://eric.ed.gov/?id=ED135783
Updated and extended European dataset of daily climate observations,"['EJ Klok', 'AMG Klein Tank']",2009,International Journal of Climatology: A Journal …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=4560d3c6d9ae9eff8e4cd5e1a75d04050cc187ff
Intimate partner violence surveillance: Uniform definitions and recommended data elements. Version 1.0,"['LE Saltzman', 'JL Fanslow', 'PM McMahon', 'GA Shelley']",1999,NA,https://stacks.cdc.gov/view/cdc/7537
"Cigarette smoking and attempts to quits among adults receiving federal housing assistance from 2005 to 2018, NHIS-HUD linked data","['JV Bachand', 'VE Garrison', 'BM Reyes', 'CE Pollack']",2025,BMC Public Health,https://link.springer.com/article/10.1186/s12889-025-21973-4
Fifty years of the survey of professional forecasters,"['D Croushore', 'T Stark']",2019,Economic Insights,https://www.philadelphiafed.org/-/media/frbp/assets/economy/articles/economic-insights/2019/q4/eiq419-spf-50.pdf
"Summary health statistics for the US population; National Health Interview Survey, 2004","['PF Adams', 'PM Barnes']",2006,NA,https://stacks.cdc.gov/view/cdc/11809
"Methodological issues in the collection, analysis, and reporting of granular data in Asian American populations: historical challenges and potential solutions","['NS Islam', 'S Khan', 'S Kwon', 'D Jang', 'M Ro']",2010,Journal of health care …,https://muse.jhu.edu/pub/1/article/400774/summary
"Scientific Registry of Transplant Recipients: collecting, analyzing, and reporting data on transplantation in the United States","['S Leppke', 'T Leighton', 'D Zaun', 'SC Chen']",2013,Transplantation …,https://www.sciencedirect.com/science/article/pii/S0955470X1300013X
Making Wage Data Work: Creating a Federal Resource for Evidence and Transparency.,['C Pena'],2018,Workforce Data Quality Campaign,https://eric.ed.gov/?id=ED603089
"Digest of Education Statistics 2016, NCES 2017-094.","['TD Snyder', 'C De Brey', 'SA Dillow']",2018,National Center for Education Statistics,https://eric.ed.gov/?id=eD580954
"Most physicians were eligible for federal incentives in 2011, but few had EHR systems that met meaningful-use criteria","['CJ Hsiao', 'SL Decker', 'E Hing', 'JE Sisk']",2012,Health Affairs,https://www.healthaffairs.org/doi/abs/10.1377/hlthaff.2011.1315
"COVID-19 incidence and mortality in federal and state prisons compared with the US population, April 5, 2020, to April 3, 2021","['N Marquez', 'JA Ward', 'K Parish', 'B Saloner', 'S Dolovich']",2021,JAMA,https://jamanetwork.com/journals/jama/article-abstract/2784944
"Disparities in diabetes: the nexus of race, poverty, and place","['DJ Gaskin', 'RJ Thorpe Jr']",2014,… journal of public …,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.2013.301420
Current Status of Federal and State Programs and Cross-cutting Issues,['N Resources'],2018,A Smarter National …,https://www.ncbi.nlm.nih.gov/books/NBK493427/
Dynamic and decentralized global analytics via machine learning,"['H Wang', 'D Niu', 'B Li']",2018,Proceedings of the ACM Symposium on Cloud …,https://dl.acm.org/doi/abs/10.1145/3267809.3267812
Your statistical consultant,"['RR Newton', 'KE Rudestam']",2013,NA,https://books.google.com/books?hl=en&lr=&id=Ms45DQAAQBAJ&oi=fnd&pg=PP1&dq=Federal+Statistical+Research+Data+Centers&ots=EygZ-2QF59&sig=fzHSDO4bI96Ax_ZKqlHUcJEleuE
Committee on Government Statistics and Information Services,['SA Rice'],1933,Journal of the American Statistical Association,https://www.tandfonline.com/doi/pdf/10.1080/01621459.1933.10502275
The economic geography of the Internet's infrastructure,['EJ Malecki'],2002,Economic geography,https://www.tandfonline.com/doi/abs/10.1111/j.1944-8287.2002.tb00193.x
Statistical analysis quick reference guidebook: With SPSS examples,"['AC Elliott', 'WA Woodward']",2007,NA,https://books.google.com/books?hl=en&lr=&id=SOsX0IbNxeIC&oi=fnd&pg=PR15&dq=Federal+Statistical+Research+Data+Centers&ots=rq1Y0pgw6J&sig=z42i62Z9gEeva5Cq-tZM-DL-0v0
"Asthma prevalence, health care use, and mortality; United States, 2005-2009","['LJ Akinbami', 'JE Moorman', 'X Liu']",2011,NA,https://stacks.cdc.gov/view/cdc/12410
Digest of education statistics 2012,"['TD Snyder', 'S a Dillow']",2014,NA,https://books.google.com/books?hl=en&lr=&id=l1zOGR5PnwwC&oi=fnd&pg=PR3&dq=Federal+Statistical+Research+Data+Centers&ots=nd_Xc7kDR2&sig=KsVGRgxZqLcRkUpkWkveZ3uRaR4
"Digest of Education Statistics 2015, NCES 2016-014.","['TD Snyder', 'C de Brey', 'SA Dillow']",2016,National Center for Education Statistics,https://eric.ed.gov/?id=ed570993
Estimation of relationships for limited dependent variables,['J Tobin'],1958,Econometrica: journal of the Econometric Society,https://www.jstor.org/stable/1907382
Cigarette smoking and adverse health outcomes among adults receiving federal housing assistance,"['VE Helms', 'BA King', 'PJ Ashley']",2017,Preventive medicine,https://www.sciencedirect.com/science/article/pii/S009174351730049X
"Federal Law Enforcement Officers, 1993",['B Reaves'],1994,NA,https://books.google.com/books?hl=en&lr=&id=njPMPlDAmbQC&oi=fnd&dq=Federal+Statistical+Research+Data+Centers&ots=yy2XnpkaSy&sig=vV1-u2vrfqXYLWlaQ_wTgKHQOrk
Statistical and econometric methods for transportation data analysis,"['S Washington', 'MG Karlaftis', 'F Mannering']",2020,NA,https://www.taylorfrancis.com/books/mono/10.1201/9780429244018/statistical-econometric-methods-transportation-data-analysis-simon-washington-fred-mannering-panagiotis-anastasopoulos-matthew-karlaftis
"COVID-19 data collection, comorbidity & federal law: A historical retrospective","['H Ealy', 'M McEvoy', 'D Chong', 'J Nowicki', 'M Sava']",2020,Ethics,https://www.ratical.org/PandemicParallaxView/C19dataCollection-C+FL-HistPerspec.pdf
Eczema prevalence in the United States: data from the 2003 National Survey of Children's Health,"['TE Shaw', 'GP Currie', 'CW Koudelka']",2011,Journal of Investigative …,https://www.sciencedirect.com/science/article/pii/S0022202X15350132
Locking the sky: a survey on IaaS cloud security,"['LM Vaquero', 'L Rodero-Merino', 'D Morán']",2011,Computing,https://link.springer.com/article/10.1007/s00607-010-0140-x
Why statistical confidentiality?,"['GT Duncan', 'M Elliot', 'JJ Salazar-González', 'GT Duncan']",2011,NA,https://link.springer.com/chapter/10.1007/978-1-4419-7802-8_1
Open science by design: Realizing a vision for 21st century research,"['', 'Medicine', 'Global Affairs', 'Board on Research Data']",2018,NA,https://books.google.com/books?hl=en&lr=&id=_B1sDwAAQBAJ&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=IO8JdBkdM0&sig=GmwugrDuzqRLXBi6EtfebbvFfok
The data revolution and economic analysis,"['L Einav', 'J Levin']",2014,Innovation Policy and the Economy,https://www.journals.uchicago.edu/doi/abs/10.1086/674019
ISCCP Global Radiance Data Set: A New Resource tor Climate Research,"['RA Schiffer', 'WB Rossow']",1985,Bulletin of the American …,https://journals.ametsoc.org/view/journals/bams/66/12/1520-0477_1985_066_1498_igrdsa_2_0_co_2.xml
"Digest of education statistics, 2008","['TD Snyder', 'SA Dillow']",2009,NA,https://books.google.com/books?hl=en&lr=&id=tBpflkoo9I8C&oi=fnd&pg=PR3&dq=Federal+Statistical+Research+Data+Centers&ots=lt2EiJjRDf&sig=dUtzBJhNX01ivJ7WJln40q5_3o0
Expanding federal funding to community health centers slows decline in access for low‐income adults,"['S McMorrow', 'S Zuckerman']",2014,Health services research,https://onlinelibrary.wiley.com/doi/abs/10.1111/1475-6773.12141
"Digest of Education Statistics, 2012. NCES 2014-015.","['TD Snyder', 'SA Dillow']",2013,National Center for Education Statistics,https://eric.ed.gov/?id=ed544576
Data Pertaining to the Education of Women: A Challenge to the Federal Government.,['AW Astin'],1978,NA,https://eric.ed.gov/?id=ED158626
Federal nutrition assistance for young children: underutilized and unequally accessed,"['T Andreyeva', 'TE Moore', 'L da Cunha Godoy']",2024,American journal of …,https://www.sciencedirect.com/science/article/pii/S0749379723003549
"Fault tree analysis: A survey of the state-of-the-art in modeling, analysis and tools","['E Ruijters', 'M Stoelinga']",2015,Computer science review,https://www.sciencedirect.com/science/article/pii/S1574013715000027
"Dirofilaria repens in the Russian Federation: current epidemiology, diagnosis, and treatment from a federal reference center perspective","['LA Ermakova', 'SA Nagorny', 'EY Krivorotova']",2014,International Journal of …,https://www.sciencedirect.com/science/article/pii/S1201971214014453
Sex offenses and offenders: An analysis of data on rape and sexual assault,['LA Greenfeld'],1997,NA,https://books.google.com/books?hl=en&lr=&id=V_ljnUky5VwC&oi=fnd&pg=PR3&dq=Federal+Statistical+Research+Data+Centers&ots=Z4piqBw_0t&sig=sU6r5px4hj-aNmCDREeCrCgm_VQ
Multiple Imputation in the Annual Survey of Manufactures,"['TK White', 'JP Reiter']",2007,… Committee on Statistical Methodology Research …,https://www.fcsm.gov/assets/files/docs/2007FCSM_White-X-C.pdf
Federally qualified health center clinicians and staff increasingly dissatisfied with workplace conditions,"['MW Friedberg', 'RO Reid', 'JW Timbie', 'C Setodji']",2017,Health …,https://www.healthaffairs.org/doi/abs/10.1377/hlthaff.2017.0205
Change in prescription habits after federal rescheduling of hydrocodone combination products,"['S Seago', 'A Hayek', 'J Pruszynski']",2016,… Medical Center …,https://www.tandfonline.com/doi/abs/10.1080/08998280.2016.11929431
The cost‐effectiveness of improving diabetes care in US federally qualified community health centers,"['ES Huang', 'Q Zhang', 'SES Brown']",2007,… services research,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-6773.2007.00734.x
The effect of social support around pregnancy on postpartum depression among Canadian teen mothers and adult mothers in the maternity experiences survey,"['THM Kim', 'JA Connolly', 'H Tamim']",2014,BMC pregnancy and childbirth,https://link.springer.com/article/10.1186/1471-2393-14-162
"Federal Housing Assistance and Blood Lead Levels in a Nationally Representative US Sample Age 6 and Older: NHANES, 1999–2018","['MDT Chu', 'A Fenelon', 'G Adamkiewicz']",2024,Environmental health …,https://ehp.niehs.nih.gov/doi/abs/10.1289/EHP12645
The dynamics of job separation: The case of federal employees,"['M Black', 'R Moffitt', 'JT Warner']",1990,Journal of Applied Econometrics,https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.3950050304
A farmers' market at a federally qualified health center improves fruit and vegetable intake among low-income diabetics,"['DA Freedman', 'SK Choi', 'T Hurley', 'E Anadu']",2013,Preventive …,https://www.sciencedirect.com/science/article/pii/S0091743513000315
Trends in opioid analgesic abuse and mortality in the United States,"['RC Dart', 'HL Surratt', 'TJ Cicero']",2015,… England Journal of …,https://www.nejm.org/doi/abs/10.1056/NEJMsa1406143
Plan and operation of the national hospital ambulatory medical care survey,"['LF McCaig', 'T McLemore']",1994,NA,https://books.google.com/books?hl=en&lr=&id=c9EJnt2quEoC&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=xcpnpS7kW6&sig=8Dc7nJOT3W6h7RoaGY5YMXoSN7M
Education and Correctional Populations. Bureau of Justice Statistics Special Report.,['CW Harlow'],2003,NA,https://eric.ed.gov/?id=ed477377
"Annual report to the nation on the status of cancer, 1975–2000, featuring the uses of surveillance data for cancer prevention and control","['HK Weir', 'MJ Thun', 'BF Hankey', 'LAG Ries']",2003,Journal of the …,https://academic.oup.com/jnci/article-abstract/95/17/1276/2520421
Measuring central bank communication: an automated approach with application to FOMC statements,"['DO Lucca', 'F Trebbi']",2009,NA,https://www.nber.org/papers/w15367
Geographic representation and requests for federal funds in the US senate,"['J Kaslovsky', 'AR Stone']",2024,Legislative Studies Quarterly,https://onlinelibrary.wiley.com/doi/abs/10.1111/lsq.12464
Guidelines for the design and statistical analysis of experiments using laboratory animals,"['MFW Festing', 'DG Altman']",2002,ILAR journal,https://academic.oup.com/ilarjournal/article-abstract/43/4/244/981872
Medicaid patients seen at federally qualified health centers use hospital services less than those seen by private providers,"['J Rothkopf', 'K Brookler', 'S Wadhwa', 'M Sajovetz']",2011,Health Affairs,https://www.healthaffairs.org/doi/abs/10.1377/hlthaff.2011.0066
The Cherokees in transition: A statistical analysis of the Federal Cherokee Census of 1835,"['WG McLoughlin', 'WH Conser']",1977,The Journal of American History,https://www.jstor.org/stable/1887236
The impact of redlining on modern-day firearm injuries: a nationwide study of federal policy,"['SA Spitzer', 'DG Vail', 'T Dey', 'A Salim']",2023,Annals of surgery,https://journals.lww.com/annalsofsurgery/fulltext/2023/11000/the_impact_of_redlining_on_modern_day_firearm.60.aspx
"Federal programs supporting educational change, Vol. VII: Factors affecting implementation and continuation.",['P Berman'],1977,NA,https://eric.ed.gov/?id=eD140432
Violence against women: Estimates from the redesigned survey,"['R Bachman', 'LE Saltzman']",1995,NA,https://books.google.com/books?hl=en&lr=&id=OQHBon5tEhMC&oi=fnd&pg=PA9&dq=Federal+Statistical+Research+Data+Centers&ots=HwWMcoDd_2&sig=FX-v8qvOTMLRAOs0GX1o40Fv3MM
Essentials of the disclosure review process: A federal perspective,"['AO Zarate', 'L Zayatz']",2006,… Research on Human Research Ethics,https://journals.sagepub.com/doi/abs/10.1525/jer.2006.1.3.51
An analysis of the probability of default on federally guranteed student loans,"['LG Knapp', 'TG Seaks']",1992,The review of economics and statistics,https://www.jstor.org/stable/2109484
Reference guide on survey research,['SS Diamond'],2000,Reference manual on scientific evidence,https://www.academia.edu/download/87036768/8.sur_res.pdf
Internal migration in the United States: A comparative assessment of the utility of the consumer credit panel,"['J DeWaard', 'JE Johnson', 'SD Whitaker']",2018,NA,https://www.clevelandfed.org/people/profiles/j/johnson-janna--e/wp-1804-internal-migration-in-the-united-states
Modern multivariate statistical techniques,['AJ Izenman'],2008,NA,https://link.springer.com/content/pdf/10.1007/978-0-387-78189-1.pdf
"Declines in unintended pregnancy in the United States, 2008–2011","['LB Finer', 'MR Zolna']",2016,New England journal of medicine,https://www.nejm.org/doi/abs/10.1056/NEJMsa1506575
A survey on federated learning,"['C Zhang', 'Y Xie', 'H Bai', 'B Yu', 'W Li', 'Y Gao']",2021,Knowledge-Based Systems,https://www.sciencedirect.com/science/article/pii/S0950705121000381
Socio-economic development of Russian federal entities in 2019: multivariate data analysis,"['AY Yudintsev', 'GN Troshkina']",2023,… Coupled Human-Natural Systems Research …,https://link.springer.com/chapter/10.1007/978-3-030-75483-9_14
Pedestrian behaviors at and perceptions towards various pedestrian facilities: an examination based on observation and survey data,"['VP Sisiopiku', 'D Akin']",2003,Transportation research part f: traffic psychology and …,https://www.sciencedirect.com/science/article/pii/S136984780300041X
Preparing teachers: Building evidence for sound policy,"['National Research Council', 'Division of Behavioral']",2010,NA,https://books.google.com/books?hl=en&lr=&id=tS5kAgAAQBAJ&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=pN2vg0Mw-R&sig=qyjY8UQyT-Ph-RUbNjA1Qmchjkc
"Drug overdose deaths in the United States, 1999–2020","['H Hedegaard', 'AM Miniño', 'MR Spencer', 'M Warner']",2021,NA,https://stacks.cdc.gov/view/cdc/112340
"Cancer statistics for hispanics/latinos, 2012","['R Siegel', 'D Naishadham']",2012,CA: a cancer journal for …,https://acsjournals.onlinelibrary.wiley.com/doi/abs/10.3322/caac.21153
"Biostatistics: a guide to design, analysis and discovery","['RN Forthofer', 'ES Lee', 'M Hernandez']",2006,NA,https://books.google.com/books?hl=en&lr=&id=tARVZq4hq7UC&oi=fnd&pg=PP1&dq=Federal+Statistical+Research+Data+Centers&ots=yLahYM8xEk&sig=SubvK63MChOjiPJDGI3BIPpk02E
America's children: Key national indicators of well-being,[''],1999,NA,https://books.google.com/books?hl=en&lr=&id=FscUuHmsAxoC&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=sa4E7ffQig&sig=AsQ0LNALeodKl-EQ1ZctJvEByJs
"Summary health statistics for US children; National Health Interview Survey, 2004","['B Bloom', 'AN Dey']",2006,NA,https://stacks.cdc.gov/view/cdc/6679/cdc_6679_DS1.pdf
Statistical methods in water resources,"['DR Helsel', 'RM Hirsch']",1993,NA,https://books.google.com/books?hl=en&lr=&id=cYb_Dv8U1QIC&oi=fnd&pg=PP1&dq=Federal+Statistical+Research+Data+Centers&ots=Yi7pvWELcV&sig=-RC7w_NaY9CqszHurBFkgR44VJw
Summary Health Statistics for US Adults: National Health Interview Survey...,"['JR Pleis', 'R Coles']",2007,NA,https://books.google.com/books?hl=en&lr=&id=2fyCaLA-4JAC&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=cImwCvA9d0&sig=460ZMN0GrKzoMqRt_72-yd2ACLk
The K‐derived planetary indices: Description and availability,"['M Menvielle', 'A Berthelier']",1991,Reviews of Geophysics,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/91rg00994
"Subsidized contraception, fertility, and sexual behavior","['MS Kearney', 'PB Levine']",2009,The review of economics and statistics,https://direct.mit.edu/rest/article-abstract/91/1/137/57741
agricultural remote sensing and data science in China,"['Z Chen', 'H Pan', 'C Liu', 'Z Jiang']",2018,Federal Data Science,https://www.sciencedirect.com/science/article/pii/B9780128124437000077
Local area networks,['G Keiser'],2002,NA,https://books.google.com/books?hl=en&lr=&id=bX5XSeuIHncC&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=uXIzHcHP6f&sig=8sncVvqHs7cEMG0hk96Xz_Ki6Ms
"Progress in Scientific and TechnicalCommunications, 1968 Annual Report. Federal Council for Science and Technology, Washington, DC Committee on Scientific and …",['DPS PRICE'],NA,NA,https://eric.ed.gov/?id=ED034691
Methadone-involved overdose deaths in the US before and after federal policy changes expanding take-home methadone doses from opioid treatment programs,"['CM Jones', 'WM Compton', 'B Han', 'G Baldwin']",2022,JAMA …,https://jamanetwork.com/journals/jamapsychiatry/article-abstract/2793744
Discovering knowledge in data: an introduction to data mining,"['DT Larose', 'CD Larose']",2014,NA,https://books.google.com/books?hl=en&lr=&id=9hOpAwAAQBAJ&oi=fnd&pg=PR11&dq=Federal+Statistical+Research+Data+Centers&ots=9R6v7O8PV8&sig=Phb_-NwfQdIsTzFZGNVNEY0F-a0
The US federal effort in developing social indicators,['AL Ferriss'],1979,Social Indicators Research,https://link.springer.com/article/10.1007/BF00343969
When do losses count? Six fallacies of natural hazards loss data,"['M Gall', 'KA Borden', 'SL Cutter']",2009,Bulletin of the American …,https://journals.ametsoc.org/view/journals/bams/90/6/2008bams2721_1.xml
"A survey of software-defined networking: Past, present, and future of programmable networks","['BAA Nunes', 'M Mendonca', 'XN Nguyen']",2014,… surveys & tutorials,https://ieeexplore.ieee.org/abstract/document/6739370/
"Design and estimation for the national health interview survey, 1985-94",['JT Massey'],1989,NA,https://books.google.com/books?hl=en&lr=&id=zHF8UuDn1fMC&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=yg4LAxlEoL&sig=-axMQDoxwWhx8VS7pkino1jMlOw
"Vanishing trial, the",['HV Samborn'],2002,ABAJ,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/abaj88&section=155
"Trust In US Federal, State, And Local Public Health Agencies During COVID-19: Responses And Policy Implications: Study reports the results of a survey of public trust …","['GK SteelFisher', 'MG Findling', 'HL Caporello']",2023,Health …,https://www.healthaffairs.org/doi/abs/10.1377/hlthaff.2022.01204
